index,smiles,name,opsin_smiles,std_original,std_opsin
44048,CCc1[nH]nc(Cl)c1C(=O)N(C)C1CC(NC(=O)[C@@H](c2cncn2C)N(C)C)C1,3-chloro-N-(3-((1R)-(dimethylamino)(1-methyl-1H-imidazol-5-yl)methylcarbonylamino)cyclobutyl)-5-ethyl-N-methyl-1H-pyrazole-4-carboxamide,,CCc1[nH]nc(Cl)c1C(=O)N(C)C1CC(NC(=O)C(c2cncn2C)N(C)C)C1,
44050,C=C[C@H](C1CC1)N(C)[C@H](C(=O)NCCOCC1CC1)[C@H]1CCSC1(C)C,"(2S)-N-(2-(cyclopropylmethoxy)ethyl)-2-(((1S)-1-cyclopropylprop-2-en-1-yl)(methyl)amino)-2-((3R)-2,2-dimethylthiolan-3-yl)acetamide",C1(CC1)COCCNC([C@H]([C@@H]1C(SCC1)(C)C)N(C)[C@@H](C=C)C1CC1)=O,C=C[C@H](C1CC1)N(C)C(C(=O)NCCOCC1CC1)[C@H]1CCSC1(C)C,C=C[C@@H](C1CC1)N(C)C(C(=O)NCCOCC1CC1)[C@H]1CCSC1(C)C
44058,CC12CC(NC(=O)[C@H]3CCCO3)(C1)C1(CN(C(=O)C3(n4cccn4)CC3)C1)O2,"(2R)-N-(1-methylspiro[2-oxabicyclo[2.1.1]hexane-3,3'-(1-(azetidin-1-yl)-1-(1-(1H-pyrazol-1-yl)cyclopropyl)methanone)]-4-yl)oxolane-2-carboxamide",,CC12CC(NC(=O)C3CCCO3)(C1)C1(CN(C(=O)C3(n4cccn4)CC3)C1)O2,
44071,C[C@H]1CC[C@H](C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3C(=O)[C@@H]2[C@@H]3CCC(=O)[C@H]32)CC1,"trans-4-methyl-N-((1R,3R,5S)-8-(((1R,5R,6R)-2-oxobicyclo[3.1.0]hexan-6-yl)carbonyl)-8-azabicyclo[3.2.1]octan-3-yl)cyclohexanecarboxamide",,CC1CCC(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)C2C3C(=O)CC[C@H]32)CC1,
44076,Cc1ccc(C)c(OCC(=O)N2[C@H]3CC[C@@H]2C[C@H](NC(=O)[C@@H](F)Br)C3)c1,"(2S)-2-bromo-N-((1R,3R,5S)-8-(2-((2,5-dimethylphenyl)oxy)-acetyl)-8-azabicyclo[3.2.1]octan-3-yl)-2-fluoroacetamide",,Cc1ccc(C)c(OCC(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)C(F)Br)C3)c1,
44088,CN(CC[C@@H](O)CO)C(=O)[C@H](CC(N)=O)NC(=O)[C@@H](F)OC(F)(F)F,"(2S)-N-((3R)-3,4-dihydroxybutyl)-2-((1R)-fluoro((trifluoromethyl)oxy)methylcarbonylamino)-N-methylbutanediamide",,CN(CC[C@@H](O)CO)C(=O)C(CC(N)=O)NC(=O)C(F)OC(F)(F)F,
44101,CC(C)(C)[C@@H](CO)C(=O)N[C@@H]1C[C@@H]1CNC(=O)C(F)(F)c1ncccc1F,"(2S)-N-((1R,2R)-2-(difluoro(3-fluoropyridin-2-yl)methylcarbonylaminomethyl)cyclopropyl)-2-(hydroxymethyl)-3,3-dimethylbutanamide",FC([C@H]1[C@@H](C1)NC([C@@H](C(C)(C)C)CO)=O)(NC(=O)CC1=NC=CC=C1F)F,CC(C)(C)C(CO)C(=O)N[C@@H]1C[C@@H]1CNC(=O)C(F)(F)c1ncccc1F,CC(C)(C)C(CO)C(=O)N[C@@H]1C[C@H]1C(F)(F)NC(=O)Cc1ncccc1F
44141,CSCCCCC(=O)N(C)CC[C@@H](C)NC(=O)[C@@H](O)C1=CCCCC1,N-((3R)-3-((1S)-(cyclohex-1-en-1-yl)(hydroxy)methylcarbonylamino)butyl)-N-methyl-5-(methylsulfanyl)pentanamide,,CSCCCCC(=O)N(C)CC[C@@H](C)NC(=O)C(O)C1=CCCCC1,
44142,CCc1cc(C(=O)N2C[C@H]3[C@H](N(C)C(=O)CCN4CCN(C)CC4)[C@H]3C2)no1,"N-((1R,5S,6S)-3-((5-ethylisoxazol-3-yl)carbonyl)-3-azabicyclo[3.1.0]hexan-6-yl)-N-methyl-3-(4-methylpiperazin-1-yl)propanamide",,CCc1cc(C(=O)N2C[C@@H]3[C@H](C2)[C@H]3N(C)C(=O)CCN2CCN(C)CC2)no1,
44187,C[C@@H]1CC(=O)N[C@@H]1C(=O)NC[C@]1(F)C[C@H](CNC(=O)c2cc3n(n2)CCO3)C1,"N-((3-fluoro-3-((2S,3R)-3-methyl-5-oxopyrrolidin-2-ylcarbonylaminomethyl)cyclobutyl)methyl)-2-oxa-5,6-diazabicyclo[3.3.0]octa-1(8),6-diene-7-carboxamide",FC1(CC(C1)CNC(=O)C1=NN2CCOC2=C1)CNC(=O)[C@H]1NC(C[C@H]1C)=O,C[C@@H]1CC(=O)NC1C(=O)NC[C@]1(F)C[C@H](CNC(=O)c2cc3n(n2)CCO3)C1,C[C@@H]1CC(=O)NC1C(=O)NCC1(F)CC(CNC(=O)c2cc3n(n2)CCO3)C1
